Nombre,Nombre del Equipo,Posición,Lo que ha subido,Porcentaje Subido,Precio Total,Sube de Precio,Baja de Precio
José Luis Gayà,Valencia,Defensa,+1.205.000,"11,9%",10.111.000,True,
Sergi Cardona,UD Las Palmas,Defensa,+1.138.000,"14,0%",8.149.000,True,
Rodrigo Riquelme,Atletico de Madrid,Mediocentro,+1.131.000,"25,6%",4.416.000,True,
Koke,Atletico de Madrid,Mediocentro,+1.127.000,"12,8%",8.795.000,True,
Diego López,Valencia,Delantero,+1.104.000,"12,4%",8.915.000,True,
Kirian Rodríguez,UD Las Palmas,Mediocentro,+1.067.000,"10,9%",9.821.000,True,
Lucas Ocampos,Sevilla,Delantero,+1.058.000,"10,5%",10.101.000,True,
Óscar De Marcos,Atletic de Bilbao,Defensa,+1.045.000,"12,8%",8.147.000,True,
Daley Blind,Girona,Defensa,+1.014.000,"12,1%",8.394.000,True,
Fermín López,Barça,Mediocentro,+1.013.000,"26,5%",3.827.000,True,
Axel Witsel,Atletico de Madrid,Defensa,+1.011.000,"11,3%",8.936.000,True,
Fran Pérez,Valencia,Mediocentro,+999.000,"24,0%",4.167.000,True,
Álvaro Morata,Atletico de Madrid,Delantero,+993.000,"6,8%",14.687.000,True,
Chris Ramos,Cadiz,Delantero,+966.000,"10,3%",9.371.000,True,
Willian José,Real Betis,Delantero,+956.000,"23,4%",4.084.000,True,
João Félix,Barça,Delantero,+940.000,"6,4%",14.670.000,True,
Gabriel Paulista,Valencia,Defensa,+939.000,"18,5%",5.072.000,True,
Yan Couto,Girona,Defensa,+920.000,"12,4%",7.426.000,True,
Samuel Costa,Mallorca,Mediocentro,+901.000,"10,9%",8.269.000,True,
Sávio,Girona,Delantero,+875.000,"6,7%",13.010.000,True,
Mikel Oyarzabal,Real Sociedad,Delantero,+873.000,"6,5%",13.487.000,True,
Diego Rico,Getafe,Defensa,+868.000,"15,0%",5.772.000,True,
Stefan Savić,Atletico de Madrid,Defensa,+864.000,"19,3%",4.476.000,True,
Lucas Torró,Osasuna,Mediocentro,+844.000,"18,9%",4.465.000,True,
Pepelu,Valencia,Mediocentro,+841.000,"6,2%",13.578.000,True,
Samu Omorodion,Alavés,Delantero,+841.000,"17,8%",4.737.000,True,
David Alaba,Real Madrid,Defensa,+832.000,"8,3%",10.048.000,True,
Assane Diao,Real Betis,Mediocentro,+820.000,"25,6%",3.201.000,True,
Bryan Zaragoza,Granada,Mediocentro,+818.000,"6,6%",12.333.000,True,
Artem Dovbyk,Girona,Delantero,+811.000,"7,9%",10.327.000,True,
Claudio Bravo,Real Betis,Portero,+805.000,"19,7%",4.079.000,True,
Filip Jörgensen,Villareal,Portero,+796.000,"7,8%",10.171.000,True,
Isco,Real Betis,Mediocentro,+775.000,"5,1%",15.307.000,True,
Nabil Fekir,Real Betis,Mediocentro,+771.000,"14,7%",5.237.000,True,
Giorgi Mamardashvili,Valencia,Portero,+767.000,"7,6%",10.128.000,True,
Juan Miranda,Real Betis,Defensa,+748.000,"23,0%",3.255.000,True,
Moi Gómez,Osasuna,Mediocentro,+725.000,"13,8%",5.246.000,True,
Saúl Ñíguez,Atletico de Madrid,Mediocentro,+712.000,"7,1%",10.016.000,True,
Thierry Correia,Valencia,Defensa,+696.000,"11,9%",5.825.000,True,
Ianis Hagi,Alavés,Mediocentro,+682.000,"17,1%",3.994.000,True,
Dani Carvajal,Real Madrid,Defensa,+677.000,"5,4%",12.537.000,True,
Abdón Prats,Mallorca,Delantero,+673.000,"15,9%",4.233.000,True,
Íñigo Martínez,Barça,Defensa,+663.000,"24,5%",2.707.000,True,
Roger Martí,Cadiz,Delantero,+649.000,"21,0%",3.085.000,True,
Ivan Rakitić,Sevilla,Mediocentro,+627.000,"5,7%",11.031.000,True,
Miguel Gutiérrez,Girona,Defensa,+625.000,"10,3%",6.072.000,True,
Rubén Alcaraz,Cadiz,Mediocentro,+621.000,"12,1%",5.128.000,True,
Suso,Sevilla,Mediocentro,+615.000,"6,1%",10.118.000,True,
Dani Rodríguez,Mallorca,Mediocentro,+615.000,"10,0%",6.160.000,True,
Ander Barrenetxea,Real Sociedad,Mediocentro,+612.000,"6,0%",10.145.000,True,
Ørjan Nyland,Sevilla,Portero,+595.000,"20,1%",2.956.000,True,
Hamari Traoré,Real Sociedad,Defensa,+594.000,"8,2%",7.213.000,True,
Luka Modrić,Real Madrid,Mediocentro,+586.000,"7,8%",7.540.000,True,
Viktor Tsygankov,Girona,Mediocentro,+585.000,"7,5%",7.763.000,True,
Jesús Navas,Sevilla,Defensa,+560.000,"12,6%",4.443.000,True,
Ander Guevara,Alavés,Mediocentro,+556.000,"16,2%",3.435.000,True,
Toni Kroos,Real Madrid,Mediocentro,+553.000,"3,9%",14.031.000,True,
Ronald Araújo,Barça,Defensa,+552.000,"4,0%",13.826.000,True,
Marcos Acuña,Sevilla,Defensa,+544.000,"10,5%",5.180.000,True,
Álex Berenguer,Atletic de Bilbao,Mediocentro,+544.000,"14,5%",3.748.000,True,
David Soria,Getafe,Portero,+542.000,"6,6%",8.237.000,True,
Jorge Herrando,Osasuna,Defensa,+11.000,"6,2%",177.000,True,
Largie Ramazani,UD Almería,Delantero,+10.000,"0,2%",5.169.000,True,
Álex Sola,Alavés,Defensa,+9.000,"0,2%",3.614.000,True,
Fran Vieites,Real Betis,Portero,+9.000,"4,8%",186.000,True,
Álvaro Lemos,UD Las Palmas,Defensa,+9.000,"5,3%",169.000,True,
Tanguy Nianzou,Sevilla,Defensa,+9.000,"5,3%",169.000,True,
Fabrizio Angileri,Getafe,Defensa,+9.000,"5,3%",169.000,True,
Alex Baena,Villareal,Mediocentro,+7.000,"0,1%",11.912.000,True,
Sergi Altimira,Real Betis,Mediocentro,+6.000,"3,6%",166.000,True,
Omenuke Mfulu,UD Las Palmas,Mediocentro,+5.000,"2,5%",202.000,True,
Francis Coquelin,Villareal,Mediocentro,+5.000,"2,7%",185.000,True,
Pablo Ibáñez,Osasuna,Mediocentro,+5.000,"2,8%",181.000,True,
David Gil,Cadiz,Portero,+5.000,"2,9%",175.000,True,
Manu Bueno,Sevilla,Mediocentro,+4.000,"2,3%",173.000,True,
Ibrahima Koné,UD Almería,Delantero,+4.000,"2,4%",164.000,True,
Robert Navarro,Cadiz,Mediocentro,+1.000,"0,5%",201.000,True,
Martín Calderón,Cadiz,Mediocentro,+1.000,"0,5%",189.000,True,
Éder Militão,Real Madrid,Defensa,-1.210.000,"-29,4%",4.117.000,,True
Luís Maximiano,UD Almería,Portero,-1.170.000,"-35,7%",3.274.000,,True
Rodrigo Sanchez,Real Betis,Mediocentro,-1.126.000,"-28,1%",4.009.000,,True
Yéremi Pino,Villareal,Delantero,-1.075.000,"-25,0%",4.302.000,,True
Fali Giménez,Cadiz,Defensa,-1.055.000,"-26,6%",3.961.000,,True
Rubén Peña,Osasuna,Defensa,-1.047.000,"-26,7%",3.919.000,,True
Enzo Loiodice,UD Las Palmas,Mediocentro,-1.014.000,"-27,4%",3.697.000,,True
Gastón Álvarez,Getafe,Defensa,-976.000,"-16,4%",5.960.000,,True
Yuri Berchiche,Atletic de Bilbao,Defensa,-973.000,"-14,1%",6.905.000,,True
Iván Villar,Celta de Vigo,Portero,-956.000,"-28,6%",3.346.000,,True
Damián Suárez,Getafe,Defensa,-953.000,"-38,8%",2.458.000,,True
Borja Iglesias,Real Betis,Delantero,-938.000,"-21,6%",4.340.000,,True
William Carvalho,Real Betis,Mediocentro,-923.000,"-26,0%",3.547.000,,True
Abde Ezzalzouli,Real Betis,Delantero,-918.000,"-13,7%",6.716.000,,True
Loïc Badé,Sevilla,Defensa,-910.000,"-11,3%",8.021.000,,True
Alfonso Pedraza,Villareal,Defensa,-895.000,"-33,0%",2.713.000,,True
Sergio Arribas,UD Almería,Mediocentro,-891.000,"-10,8%",8.249.000,,True
Oriol Romeu,Barça,Mediocentro,-888.000,"-13,7%",6.493.000,,True
Sergio Camello,Rayo Vallecano,Delantero,-887.000,"-32,3%",2.750.000,,True
André Silva,Real Sociedad,Delantero,-886.000,"-38,8%",2.284.000,,True
André Almeida,Valencia,Mediocentro,-875.000,"-32,8%",2.664.000,,True

